## Site Characteristics
        Country='China'
        Station='Unknown'
        Description=''
        Source='NASA/POWER Source Native Resolution Daily Data'
        Contact='Herman Berghuijs (herman.berghuijs@wur.nl)'
        Longitude=127.0958328;Latitude=45.83750153;Elevation=139.04;AngstromA=0.29;AngstromB=0.49;HasSunshine=False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19840101,7120.0,-23.77,-14.99,0.10815937266540737, 1.69, 0.01,0
19840102,7170.0,-24.38,-16.85,0.10367116701727037, 0.96, 0.03,0
19840103,7250.0,-22.37,-16.18,0.12035935383737871, 1.87, 0.25,0
19840104,5940.0,-22.14,-16.17,0.11817551446914476, 2.33, 0.27,0
19840105,7020.0,-23.95,-15.31,0.10835009732145384, 2.61, 0.02,0
19840106,6520.0,-22.93,-13.53,0.12300616294584502, 0.83, 0.0,0
19840107,7130.0,-20.12,-15.29,0.1316019364189043, 1.32, 0.03,0
19840108,7000.0,-21.03,-12.33,0.13810023870602015, 2.17, 0.05,0
19840109,7490.0,-16.07,-10.18,0.19428655288893437, 1.32, 0.15,0
19840110,7480.0,-19.84,-11.57,0.15827547428662025, 3.33, 0.05,0
19840111,6570.0,-19.74,-13.17,0.13446840907328708, 2.18, 0.03,0
19840112,7060.0,-19.28,-11.48,0.14775490750836198, 1.8, 0.01,0
19840113,7210.0,-19.45,-11.84,0.14352822416757688, 1.32, 0.02,0
19840114,5620.0,-22.46,-12.66,0.12386406439206439, 3.36, 0.13,0
19840115,7560.0,-24.12,-16.75,0.0885257685429374, 2.93, 0.03,0
19840116,8070.0,-25.06,-17.92,0.07927350552929081, 2.97, 0.01,0
19840117,8109.999999999999,-26.62,-18.0,0.07122468891185206, 2.03, 0.0,0
19840118,8210.000000000002,-28.35,-19.34,0.07281326303357787, 2.73, 0.0,0
19840119,8070.0,-27.61,-15.1,0.08916497228218628, 2.3, 0.01,0
19840120,8370.0,-22.59,-14.77,0.11085704768240012, 1.68, 0.07,0
19840121,8430.0,-25.53,-18.11,0.08884485544852012, 3.45, 0.10999999999999999,0
19840122,7270.0,-23.1,-15.23,0.11541981664939256, 3.42, 0.57,0
19840123,8500.0,-23.1,-17.23,0.10257549172749628, 1.62, 0.19,0
19840124,9040.0,-24.39,-19.63,0.08348250108846045, 2.33, 0.1,0
19840125,8080.0,-23.32,-20.31,0.08916497228218628, 2.72, 0.3,0
19840126,9270.0,-21.0,-16.29,0.11848530603588786, 2.57, 0.16,0
19840127,7710.0,-19.78,-14.93,0.13810023870602015, 2.31, 0.53,0
19840128,8430.0,-20.35,-13.43,0.13821883958809592, 3.1, 0.17,0
19840129,9270.0,-23.29,-14.49,0.1174554825186833, 1.88, 0.06,0
19840130,9930.0,-21.97,-11.17,0.13171553836448982, 2.28, 0.01,0
19840131,10060.0,-21.78,-15.59,0.11541981664939256, 2.95, 0.04,0
19840201,7660.0,-24.86,-16.27,0.0976850977568829, 1.82, 0.14,0
19840202,9120.0,-27.22,-18.69,0.07388989230277788, 2.84, 0.02,0
19840203,9420.0,-28.95,-17.54,0.06505569333593311, 2.24, 0.0,0
19840204,9640.0,-28.71,-17.12,0.06947476053484575, 2.24, 0.0,0
19840205,9240.0,-30.49,-21.66,0.05207140151275289, 2.72, 0.03,0
19840206,9170.0,-33.38,-20.95,0.05712753236717179, 4.5, 0.02,0
19840207,9990.0,-27.4,-16.0,0.08153838746292193, 4.0, 0.02,0
19840208,10880.0,-24.01,-15.73,0.11531886678382358, 2.86, 0.10999999999999999,0
19840209,10630.0,-21.37,-11.88,0.1416980922708022, 2.07, 0.06,0
19840210,10630.0,-20.44,-11.43,0.1539112089881161, 1.37, 0.05,0
19840211,11380.0,-21.66,-10.82,0.1452553643983163, 0.96, 0.01,0
