ID_field,C,S,Sand,OM,Dichtheid,D
DR01_01,1,7,87,4.9,1382,1.382
DR01_02,1,7,88,5.3,1376,1.376
DR01_03,1,2,93,3.9,1438,1.438
DR02_01,2,5,88,4.7,1422,1.422
DR02_02,1,7,89,3.6,1462,1.462
DR02_03,1,5,91,4.1,1432,1.432
DR03_01,1,10,83,5.5,1352,1.352
DR03_02,1,8,86,6,1342,1.342
DR03_03,1,3,91,4.5,1409,1.409
DR04_01,3,11,74,11.2,1163,1.163
DR04_02,4,9,77,9,1221,1.221
DR04_03,3,7,77,12.2,1107,1.107
DR05_01,2,12,81,5.1,1389,1.389
DR05_02,1,14,82,3.4,1465,1.465
DR05_03,1,10,85,4.5,1407,1.407
DR06_01,1,8,86,5.3,1385,1.385
DR06_02,1,7,86,6.7,1334,1.334
DR06_03,1,10,79,9.5,1186,1.186
DR07_01,2,11,82,5.2,1377,1.377
DR07_02,2,11,82,4.6,1408,1.408
DR07_03,2,7,85,6,1338,1.338
DR08_01,2,6,86,5.5,1377,1.377
DR08_02,1,8,88,3.1,1486,1.486
DR08_03,2,11,81,5.9,1349,1.349
DR09_01,3,10,79,7.8,1263,1.263
DR09_02,2,13,79,5.7,1343,1.343
DR09_03,1,10,79,9.9,1190,1.19
DR09_04,2,10,79,8.7,1239,1.239
DR10_01,1,10,84,4.7,1394,1.394
DR10_02,2,10,81,6.5,1294,1.294
DR10_03,2,11,82,4.5,1410,1.41
DR10_04,1,10,85,4.2,1429,1.429
DR11_01,2,9,79,9,1194,1.194
DR11_02,1,8,84,6.8,1314,1.314
DR11_03,2,11,79,7.6,1270,1.27
DR12_01,1,11,83,4.4,1410,1.41
DR12_02,2,12,81,4.5,1396,1.396
DR12_03,3,13,79,5.2,1369,1.369
DR12_04,1,12,84,3,1490,1.49
DR13_01,1,11,82,5.4,1370,1.37
DR13_02,2,12,81,5.1,1378,1.378
DR13_03,1,8,85,6.1,1332,1.332
DR13_04,2,16,77,4.9,1389,1.389
DR14_01,1,8,83,8.9,1253,1.253
DR14_02,2,7,79,11.1,1167,1.167
DR14_03,1,2,82,14.2,1085,1.085
DR14_04,2,4,83,11,1189,1.189
DR15_01,1,8,83,7.5,1295,1.295
DR15_02,1,6,89,3.4,1469,1.469
DR15_03,1,5,91,3.6,1458,1.458
DR16_01,2,9,82,6.6,1341,1.341
DR16_02,1,9,85,4.9,1398,1.398
DR16_03,2,9,83,5.7,1365,1.365
DR16_04,1,6,88,4.6,1404,1.404
DR17_01,1,13,81,6.1,1335,1.335
DR17_02,1,9,84,5.5,1363,1.363
DR17_03,2,13,80,4.7,1387,1.387
DR18_01,2,10,80,7.2,1287,1.287
DR18_02,3,12,75,9.4,1206,1.206
DR18_03,1,6,89,4.8,1418,1.418
DR19_01,1,14,80,4.7,1400,1.4
DR19_02,1,9,86,3.6,1464,1.464
DR19_03,1,10,85,4.1,1440,1.44
